query_id,original_query_id,fold_id
0_A,0,4
0_B,0,4
0_C,0,4
1_A,1,2
1_B,1,2
1_C,1,2
2_A,2,1
2_B,2,1
2_C,2,1
3_A,3,3
3_C,3,3
4_B,4,4
5_B,5,1
6_A,6,0
6_B,6,0
6_C,6,0
7_C,7,0
8_A,8,3
9_A,9,3
10_B,10,0
11_B,11,4
11_C,11,4
12_C,12,0
13_A,13,0
13_C,13,0
14_A,14,2
14_C,14,2
15_A,15,3
15_B,15,3
15_C,15,3
16_A,16,2
16_B,16,2
16_C,16,2
18_B,18,2
18_C,18,2
19_C,19,4
20_B,20,3
20_C,20,3
21_A,21,3
21_C,21,3
22_B,22,0
22_C,22,0
23_A,23,1
23_C,23,1
24_A,24,1
24_B,24,1
25_B,25,2
26_A,26,3
27_A,27,2
27_B,27,2
30_A,30,1
30_B,30,1
30_C,30,1
31_C,31,1
32_A,32,0
32_C,32,0
33_C,33,4
34_A,34,4
35_B,35,3
35_C,35,3
36_A,36,4
36_B,36,4
36_C,36,4
37_A,37,4
37_B,37,4
37_C,37,4
38_A,38,1
39_A,39,2
40_A,40,1
40_C,40,1
41_A,41,2
41_B,41,2
41_C,41,2
42_A,42,0
43_A,43,0
43_B,43,0
43_C,43,0
44_A,44,0
44_B,44,0
44_C,44,0
45_A,45,3
45_B,45,3
46_B,46,4
46_C,46,4
47_B,47,0
48_B,48,2
48_C,48,2
49_B,49,3
51_A,51,2
51_B,51,2
51_C,51,2
52_B,52,4
52_C,52,4
53_B,53,1
53_C,53,1
54_A,54,0
54_B,54,0
54_C,54,0
55_A,55,2
55_B,55,2
56_C,56,3
57_A,57,2
57_B,57,2
57_C,57,2
58_A,58,1
58_B,58,1
58_C,58,1
59_A,59,3
59_B,59,3
59_C,59,3
60_A,60,4
60_C,60,4
61_A,61,3
61_C,61,3
62_A,62,0
62_B,62,0
62_C,62,0
63_A,63,3
63_B,63,3
64_A,64,4
64_B,64,4
64_C,64,4
65_A,65,4
65_B,65,4
66_A,66,0
66_B,66,0
66_C,66,0
67_A,67,1
67_B,67,1
68_A,68,1
69_A,69,3
69_B,69,3
69_C,69,3
70_A,70,2
70_C,70,2
71_B,71,0
72_B,72,4
72_C,72,4
73_A,73,4
73_B,73,4
73_C,73,4
74_A,74,3
74_B,74,3
74_C,74,3
75_A,75,4
75_B,75,4
75_C,75,4
76_B,76,4
76_C,76,4
77_A,77,1
77_C,77,1
78_A,78,3
78_B,78,3
78_C,78,3
79_B,79,2
79_C,79,2
80_B,80,0
80_C,80,0
81_A,81,3
81_C,81,3
82_B,82,0
82_C,82,0
83_B,83,0
83_C,83,0
84_C,84,2
85_A,85,1
85_B,85,1
85_C,85,1
86_A,86,1
86_B,86,1
86_C,86,1
87_A,87,2
87_B,87,2
88_A,88,2
88_B,88,2
88_C,88,2
89_A,89,3
89_B,89,3
89_C,89,3
90_C,90,4
92_C,92,2
93_B,93,1
93_C,93,1
94_A,94,2
95_A,95,1
95_B,95,1
95_C,95,1
96_A,96,4
96_C,96,4
97_C,97,1
98_A,98,1
98_C,98,1
99_B,99,0
99_C,99,0
